population,variant,snr,arm,span95_M,span90_M,median_error,cases
in_basis,GREEN_NESTED_1445,100,direct,0,0,0.9866210707614935,240
in_basis,GREEN_NESTED_1445,100,labelled,0,0,0.2816083325243041,240
in_basis,GREEN_NESTED_1445,300,direct,0,0,0.9841840794776779,240
in_basis,GREEN_NESTED_1445,300,labelled,0,0,0.1792000276942301,240
in_basis,HISTORICAL_INNOVATION_1445,100,direct,0,0,0.9850816688432305,240
in_basis,HISTORICAL_INNOVATION_1445,100,labelled,0,0,0.4326505936257088,240
in_basis,HISTORICAL_INNOVATION_1445,300,direct,0,0,0.9845518126517628,240
in_basis,HISTORICAL_INNOVATION_1445,300,labelled,0,0,0.2032898632227245,240
in_basis,RAY595_BASELINE,100,direct,0,0,0.9534556221907442,240
in_basis,RAY595_BASELINE,100,labelled,2,2,0.09631524106964977,240
in_basis,RAY595_BASELINE,300,direct,0,0,0.9436484549803426,240
in_basis,RAY595_BASELINE,300,labelled,28,28,0.04664369371549799,240
in_basis,RETARDED_TIME_DCT_EQUIVALENT,100,direct,0,0,0.9534556221907442,240
in_basis,RETARDED_TIME_DCT_EQUIVALENT,100,labelled,2,2,0.09631524106964977,240
in_basis,RETARDED_TIME_DCT_EQUIVALENT,300,direct,0,0,0.9436484549803426,240
in_basis,RETARDED_TIME_DCT_EQUIVALENT,300,labelled,28,28,0.04664369371549799,240
off_basis,GREEN_NESTED_1445,300,direct,0,0,1.0001834869108754,80
off_basis,GREEN_NESTED_1445,300,labelled,0,0,1.2330331605945875,80
off_basis,HISTORICAL_INNOVATION_1445,300,direct,0,0,1.0001081960041316,80
off_basis,HISTORICAL_INNOVATION_1445,300,labelled,0,0,2.5588334542936684,80
off_basis,RAY595_BASELINE,300,direct,0,0,1.01488910302546,80
off_basis,RAY595_BASELINE,300,labelled,0,0,0.8503199690218921,80
off_basis,RETARDED_TIME_DCT_EQUIVALENT,300,direct,0,0,1.01488910302546,80
off_basis,RETARDED_TIME_DCT_EQUIVALENT,300,labelled,0,0,0.8503199690218921,80
