population,variant,snr,family,direct_median_error,labelled_median_error,median_paired_reduction,improved_cases,cases,direct_span95_M,labelled_span95_M,labelled_span90_M
in_basis,GREEN_NESTED_1445,100,double_hotspot,0.9765977817719789,0.2863141382543913,0.7020976684012213,80,80,0,0,0
in_basis,GREEN_NESTED_1445,100,flare_drift,0.9923704904747936,0.29505772528636126,0.7012719711357399,80,80,0,0,0
in_basis,GREEN_NESTED_1445,100,single_hotspot,0.9980584745457061,0.2647839941277864,0.7354553008977944,80,80,0,0,0
in_basis,GREEN_NESTED_1445,300,double_hotspot,0.9747687726686947,0.1793329331609811,0.8140991842623468,80,80,0,0,0
in_basis,GREEN_NESTED_1445,300,flare_drift,0.9889547796719006,0.17753793795625375,0.8212905807261159,80,80,0,0,0
in_basis,GREEN_NESTED_1445,300,single_hotspot,0.9971105531145972,0.17971472748285244,0.8191632697358409,80,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,100,double_hotspot,0.9767209974541482,0.4010569200196289,0.5893227300826338,80,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,100,flare_drift,0.9913928572652622,0.42689667856745855,0.5666251206393734,70,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,100,single_hotspot,0.997649578844072,0.4433624035619499,0.5560009649057891,69,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,300,double_hotspot,0.9756855374422357,0.20358930005673054,0.7885126149955304,80,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,300,flare_drift,0.989044510048926,0.2005370312722782,0.7971820618833119,80,80,0,0,0
in_basis,HISTORICAL_INNOVATION_1445,300,single_hotspot,0.997149723413003,0.21624017737774692,0.783390047924721,80,80,0,0,0
in_basis,RAY595_BASELINE,100,double_hotspot,1.0322213023740812,0.09870999073946443,0.9127343913022343,80,80,0,2,26
in_basis,RAY595_BASELINE,100,flare_drift,0.8291659774866502,0.10285347665859845,0.9130702018772955,80,80,0,0,2
in_basis,RAY595_BASELINE,100,single_hotspot,0.9540582040827901,0.09175746546184703,0.9178688144694163,80,80,0,0,2
in_basis,RAY595_BASELINE,300,double_hotspot,1.0030633240578468,0.04703642875015141,0.9566048771904703,80,80,0,28,28
in_basis,RAY595_BASELINE,300,flare_drift,0.8069269909487096,0.042075839746379406,0.95968703577836,80,80,0,28,28
in_basis,RAY595_BASELINE,300,single_hotspot,0.9436484549803426,0.04762491469940083,0.9541019299097073,80,80,0,28,28
in_basis,RETARDED_TIME_DCT_EQUIVALENT,100,double_hotspot,1.0322213023740812,0.09870999073946443,0.9127343913022343,80,80,0,2,26
in_basis,RETARDED_TIME_DCT_EQUIVALENT,100,flare_drift,0.8291659774866502,0.10285347665859845,0.9130702018772955,80,80,0,0,2
in_basis,RETARDED_TIME_DCT_EQUIVALENT,100,single_hotspot,0.9540582040827901,0.09175746546184703,0.9178688144694163,80,80,0,0,2
in_basis,RETARDED_TIME_DCT_EQUIVALENT,300,double_hotspot,1.0030633240578468,0.04703642875015141,0.9566048771904703,80,80,0,28,28
in_basis,RETARDED_TIME_DCT_EQUIVALENT,300,flare_drift,0.8069269909487096,0.042075839746379406,0.95968703577836,80,80,0,28,28
in_basis,RETARDED_TIME_DCT_EQUIVALENT,300,single_hotspot,0.9436484549803426,0.04762491469940083,0.9541019299097073,80,80,0,28,28
off_basis,GREEN_NESTED_1445,300,narrow_hotspot,1.0005531056571368,1.301924514015243,-0.3012959678745181,0,40,0,0,0
off_basis,GREEN_NESTED_1445,300,shearing_spiral,0.9991961693575855,0.9975440592039273,-0.0016686404203859644,19,40,0,0,0
off_basis,HISTORICAL_INNOVATION_1445,300,narrow_hotspot,1.0003425931229613,2.7536796583952023,-1.7530535690293914,0,40,0,0,0
off_basis,HISTORICAL_INNOVATION_1445,300,shearing_spiral,0.9992338564745821,1.9548538838812701,-0.9558719357429001,4,40,0,0,0
off_basis,RAY595_BASELINE,300,narrow_hotspot,1.0005765288144972,0.9286695340605435,0.06983256384349483,24,40,0,0,0
off_basis,RAY595_BASELINE,300,shearing_spiral,1.7623001647043115,0.752081485455065,0.5460330902566068,40,40,0,0,0
off_basis,RETARDED_TIME_DCT_EQUIVALENT,300,narrow_hotspot,1.0005765288144972,0.9286695340605435,0.06983256384349483,24,40,0,0,0
off_basis,RETARDED_TIME_DCT_EQUIVALENT,300,shearing_spiral,1.7623001647043115,0.752081485455065,0.5460330902566068,40,40,0,0,0
