experiment,model,seed,source,acquisition,relative_error
inverse,data,11,matched,direct,0.5245099507948445
inverse,data,11,transient,direct,0.8497548115642006
inverse,data,11,matched,all_orders,0.2019463595324342
inverse,data,11,transient,all_orders,0.2596226828260307
inverse,pinn,11,matched,direct,0.0445061757345543
inverse,pinn,11,transient,direct,0.6973146904202919
inverse,pinn,11,matched,all_orders,0.0338065597878123
inverse,pinn,11,transient,all_orders,0.6082819267714143
inverse,characteristic,11,matched,direct,0.07065441317746229
inverse,characteristic,11,transient,direct,0.6994780909985375
inverse,characteristic,11,matched,all_orders,0.0553456965304992
inverse,characteristic,11,transient,all_orders,0.6703639722548852
inverse,data,22,matched,direct,0.7753956114436524
inverse,data,22,transient,direct,0.9566553273869368
inverse,data,22,matched,all_orders,0.2015355103429538
inverse,data,22,transient,all_orders,0.2126063411004931
inverse,pinn,22,matched,direct,0.0622294715362059
inverse,pinn,22,transient,direct,0.6944439286762362
inverse,pinn,22,matched,all_orders,0.0478167435373639
inverse,pinn,22,transient,all_orders,0.6069531810357611
inverse,characteristic,22,matched,direct,0.0916060166712386
inverse,characteristic,22,transient,direct,0.6952813954326811
inverse,characteristic,22,matched,all_orders,0.0660903564207084
inverse,characteristic,22,transient,all_orders,0.667040597923329
inverse,data,33,matched,direct,0.4643535861341424
inverse,data,33,transient,direct,0.8215438393581865
inverse,data,33,matched,all_orders,0.1491637067952685
inverse,data,33,transient,all_orders,0.1751447107961999
inverse,pinn,33,matched,direct,0.043144343326183
inverse,pinn,33,transient,direct,0.6949566856750478
inverse,pinn,33,matched,all_orders,0.0364090160198688
inverse,pinn,33,transient,all_orders,0.6049451243042083
inverse,characteristic,33,matched,direct,0.1219984433154296
inverse,characteristic,33,transient,direct,0.6994441826189142
inverse,characteristic,33,matched,all_orders,0.0935563564409754
inverse,characteristic,33,transient,all_orders,0.6715291895591607
classical,exact_transport_fourier,11,matched,direct,0.0194024494015481
classical,exact_transport_fourier,11,transient,direct,0.6978408478704818
classical,exact_transport_fourier,11,matched,all_orders,0.0143496051900703
classical,exact_transport_fourier,11,transient,all_orders,0.6692224526695204
classical,flexible_spline_fourier_ridge,11,matched,direct,0.9770535045213022
classical,flexible_spline_fourier_ridge,11,transient,direct,0.987691993822395
classical,flexible_spline_fourier_ridge,11,matched,all_orders,0.1207112673731457
classical,flexible_spline_fourier_ridge,11,transient,all_orders,0.1307671527546794
classical,exact_transport_fourier,22,matched,direct,0.0347776170096129
classical,exact_transport_fourier,22,transient,direct,0.692678091733504
classical,exact_transport_fourier,22,matched,all_orders,0.0284388860205139
classical,exact_transport_fourier,22,transient,all_orders,0.665421690643873
classical,flexible_spline_fourier_ridge,22,matched,direct,0.9796810839055764
classical,flexible_spline_fourier_ridge,22,transient,direct,0.9891300118449596
classical,flexible_spline_fourier_ridge,22,matched,all_orders,0.1401843118741126
classical,flexible_spline_fourier_ridge,22,transient,all_orders,0.1270611093882953
classical,exact_transport_fourier,33,matched,direct,0.0241566759859541
classical,exact_transport_fourier,33,transient,direct,0.6944331453097414
classical,exact_transport_fourier,33,matched,all_orders,0.011778994738696
classical,exact_transport_fourier,33,transient,all_orders,0.6677233517462824
classical,flexible_spline_fourier_ridge,33,matched,direct,0.9757639851790127
classical,flexible_spline_fourier_ridge,33,transient,direct,0.9873341914590802
classical,flexible_spline_fourier_ridge,33,matched,all_orders,0.1528271028946662
classical,flexible_spline_fourier_ridge,33,transient,all_orders,0.1277317832350759
forward,log_coordinate_cubic_spline,,,,0.0010343660565534
forward,known_log_plus_linear_residual,,,,6.123951106145892e-16
forward,data,11,,,0.2428612208655286
forward,raw_pinn,11,,,0.0081911210655931
forward,factored_pinn,11,,,3.197195814572878e-05
forward,data,22,,,0.2563835497743669
forward,raw_pinn,22,,,0.0030653628170114
forward,factored_pinn,22,,,8.089101751466453e-06
forward,data,33,,,0.2447571171969031
forward,raw_pinn,33,,,0.0403064121217349
forward,factored_pinn,33,,,3.64456258725976e-05
operator,data,11,,,0.0084439417382979
operator,pino,11,,,0.0002580557859796
operator,data,22,,,0.008371059485391101
operator,pino,22,,,0.0002442845180529
operator,data,33,,,0.0077996683559025
operator,pino,33,,,0.0004021898846672
