background,seed,method,source,acquisition,old_contrast_error
0,101,data,matched,direct,0.5826020419171497
0,101,data,single,direct,0.7266639652361969
0,101,data,double,direct,0.755657212220824
0,101,data,matched,all_orders,0.1370717808768888
0,101,data,single,all_orders,0.5222673504264621
0,101,data,double,all_orders,0.5218549804985946
0,101,quadratic,matched,direct,0.2175258792216106
0,101,quadratic,single,direct,0.7137045052960985
0,101,quadratic,double,direct,0.7256010875536246
0,101,quadratic,matched,all_orders,0.0857074381356945
0,101,quadratic,single,all_orders,0.5235098629391373
0,101,quadratic,double,all_orders,0.5163990793579825
0,101,innovation,matched,direct,0.5417481653926284
0,101,innovation,single,direct,0.6958491749835862
0,101,innovation,double,direct,0.7240606625359185
0,101,innovation,matched,all_orders,0.0930652052614839
0,101,innovation,single,all_orders,0.5236086548354579
0,101,innovation,double,all_orders,0.5155057998485598
0,101,spline_ridge,matched,direct,0.9824212109597976
0,101,spline_ridge,single,direct,0.9893709622762004
0,101,spline_ridge,double,direct,0.9922114015354642
0,101,spline_ridge,matched,all_orders,0.1538082797713836
0,101,spline_ridge,single,all_orders,0.2724701931252644
0,101,spline_ridge,double,all_orders,0.7859539818785534
0,202,data,matched,direct,0.6526737984365181
0,202,data,single,direct,1.0076860208457206
0,202,data,double,direct,1.0299047864484536
0,202,data,matched,all_orders,0.1219937259848483
0,202,data,single,all_orders,0.483644138088862
0,202,data,double,all_orders,0.496787346761009
0,202,quadratic,matched,direct,0.1259711455377914
0,202,quadratic,single,direct,0.7632640834837068
0,202,quadratic,double,direct,0.7759306162336359
0,202,quadratic,matched,all_orders,0.0736679355722988
0,202,quadratic,single,all_orders,0.4551143975070825
0,202,quadratic,double,all_orders,0.5046062492846977
0,202,innovation,matched,direct,0.3626682491373742
0,202,innovation,single,direct,0.7478404846254372
0,202,innovation,double,direct,0.7738367552125633
0,202,innovation,matched,all_orders,0.0870489840343585
0,202,innovation,single,all_orders,0.4644643914749758
0,202,innovation,double,all_orders,0.4899036623618643
0,202,spline_ridge,matched,direct,0.9808987534511528
0,202,spline_ridge,single,direct,0.9884979350108866
0,202,spline_ridge,double,direct,0.9958193287869828
0,202,spline_ridge,matched,all_orders,0.1285681107383447
0,202,spline_ridge,single,all_orders,0.2236263984858652
0,202,spline_ridge,double,all_orders,0.9648766527846266
0,303,data,matched,direct,0.6153548340470761
0,303,data,single,direct,0.7334779422539275
0,303,data,double,direct,0.7725229630778893
0,303,data,matched,all_orders,0.1254408366095886
0,303,data,single,all_orders,0.4837214360613255
0,303,data,double,all_orders,0.5196947994166734
0,303,quadratic,matched,direct,0.1931243399960432
0,303,quadratic,single,direct,0.7208054725583722
0,303,quadratic,double,direct,0.7283426257188962
0,303,quadratic,matched,all_orders,0.0892757125654615
0,303,quadratic,single,all_orders,0.4847174495221387
0,303,quadratic,double,all_orders,0.5031193373366679
0,303,innovation,matched,direct,0.3912736060698396
0,303,innovation,single,direct,0.7525165787126025
0,303,innovation,double,direct,0.7742671421707159
0,303,innovation,matched,all_orders,0.0986313441986326
0,303,innovation,single,all_orders,0.4651245756634836
0,303,innovation,double,all_orders,0.5087570122990807
0,303,spline_ridge,matched,direct,0.9861520513886218
0,303,spline_ridge,single,direct,0.9916979573090208
0,303,spline_ridge,double,direct,1.0014558164220924
0,303,spline_ridge,matched,all_orders,0.1251258027303054
0,303,spline_ridge,single,all_orders,0.2327299750700122
0,303,spline_ridge,double,all_orders,0.7921677105182863
1,101,data,matched,direct,0.4624929767478605
1,101,data,single,direct,0.6181552212562768
1,101,data,double,direct,0.6148041451767239
1,101,data,matched,all_orders,0.1503295690846038
1,101,data,single,all_orders,0.326929681243397
1,101,data,double,all_orders,0.4311903466481899
1,101,quadratic,matched,direct,0.1093057611388328
1,101,quadratic,single,direct,0.6786969407905641
1,101,quadratic,double,direct,0.6687289478498484
1,101,quadratic,matched,all_orders,0.0991162407649482
1,101,quadratic,single,all_orders,0.5021177909913446
1,101,quadratic,double,all_orders,0.4460334412141358
1,101,innovation,matched,direct,0.2637422892961426
1,101,innovation,single,direct,0.697679288072727
1,101,innovation,double,direct,0.6821872780457626
1,101,innovation,matched,all_orders,0.1135489323761998
1,101,innovation,single,all_orders,0.3661199955070754
1,101,innovation,double,all_orders,0.408482553459799
1,101,spline_ridge,matched,direct,0.980955701131944
1,101,spline_ridge,single,direct,0.9875987861728291
1,101,spline_ridge,double,direct,0.9826464208157796
1,101,spline_ridge,matched,all_orders,0.1624049038921393
1,101,spline_ridge,single,all_orders,0.1802489020370707
1,101,spline_ridge,double,all_orders,0.390306393095305
1,202,data,matched,direct,0.4723725297618263
1,202,data,single,direct,0.718830521860066
1,202,data,double,direct,0.6983720655739009
1,202,data,matched,all_orders,0.093057862040636
1,202,data,single,all_orders,0.5331361828648796
1,202,data,double,all_orders,0.4317332194479711
1,202,quadratic,matched,direct,0.2862704443652703
1,202,quadratic,single,direct,0.6825941975139045
1,202,quadratic,double,direct,0.6622612338977938
1,202,quadratic,matched,all_orders,0.0627554864525471
1,202,quadratic,single,all_orders,0.5313657170299555
1,202,quadratic,double,all_orders,0.4642918849066949
1,202,innovation,matched,direct,0.4082881652992259
1,202,innovation,single,direct,0.7218026208319955
1,202,innovation,double,direct,0.7013508734858718
1,202,innovation,matched,all_orders,0.0682201267986455
1,202,innovation,single,all_orders,0.5347411722221623
1,202,innovation,double,all_orders,0.438042763481209
1,202,spline_ridge,matched,direct,0.9833592345678877
1,202,spline_ridge,single,direct,0.9894088340119483
1,202,spline_ridge,double,direct,0.9861945922406832
1,202,spline_ridge,matched,all_orders,0.1500420936330662
1,202,spline_ridge,single,all_orders,0.1892430664566623
1,202,spline_ridge,double,all_orders,0.4004350101248882
1,303,data,matched,direct,0.4269025583490639
1,303,data,single,direct,0.8244217369307755
