model,seed,max_channel_detector_relative_error,max_point_delay_error_M,relative_delay_error,seconds,loss,lbfgs_calls
cubic_log,,1.417449053552869e-05,0.0001221522856214019,5.443415202475861e-07,,,
residual_cubic,,1.4174490535523925e-05,0.0001221522856214019,5.443415202472393e-07,,,
raw,101.0,0.7085937905784899,4.441998458259128,0.060689880685163844,1.712987355999985,0.0009620723015028963,111.0
log,101.0,0.005021476099125897,0.05118199885482966,0.0008004586408763635,0.9348058960000003,1.556564216200381e-07,125.0
structured,101.0,0.006752505546771692,0.033380582733809394,0.00041615147008359224,1.0160424299999704,4.617791367470328e-08,125.0
raw,202.0,0.241051546973708,4.55644794341805,0.05196799988888848,0.9663213689999566,0.0007316329065182236,120.0
log,202.0,0.004931701284562766,0.0947781438817401,0.0011573580341821689,0.9297894540000016,3.477780656703395e-07,125.0
structured,202.0,0.008253655136522042,0.03821413783226468,0.0005149644489040657,0.927342914999997,7.279303640925303e-08,125.0
raw,303.0,0.07043622666954129,4.3668571591703795,0.04927940679857699,0.9516942310000331,0.0006803399039104391,119.0
log,303.0,0.008637573318655951,0.042313546718905304,0.0005744777653843272,0.8382816700000149,8.98993254738439e-08,19.0
structured,303.0,0.007948033221778844,0.037363626063226185,0.0003958045130966552,0.8786554220000085,4.142378984558149e-08,126.0
