source,acquisition,method,count,median,min,max
double,all_orders,data,6,0.46465995710482955,0.43119034664818995,0.5218549804985946
double,all_orders,innovation,6,0.46397321292153665,0.408482553459799,0.5155057998485598
double,all_orders,quadratic,6,0.4837056111216814,0.4460334412141358,0.5163990793579825
double,all_orders,spline_ridge,6,0.6142347187014401,0.390306393095305,0.9648766527846266
double,direct,data,6,0.7640900876493566,0.6148041451767239,1.0299047864484536
double,direct,innovation,6,0.7266404089826947,0.6821872780457626,0.7742671421707159
double,direct,quadratic,6,0.7117503864196348,0.6622612338977938,0.7759306162336359
double,direct,spline_ridge,6,0.9892029968880737,0.9793916233102239,1.0014558164220924
matched,all_orders,data,6,0.12743484619038303,0.09305786204063608,0.15032956908460385
matched,all_orders,innovation,6,0.09584827473005832,0.06822012679864556,0.11354893237619985
matched,all_orders,quadratic,6,0.08370248969832278,0.06275548645254715,0.09911624076494825
matched,all_orders,spline_ridge,6,0.15156032605921144,0.12512580273030544,0.16240490389213932
matched,direct,data,6,0.527487285839488,0.4269025583490639,0.6526737984365181
matched,direct,innovation,6,0.37697092760360695,0.25648327217479955,0.5417481653926284
matched,direct,quadratic,6,0.17827771951995663,0.10930576113883285,0.2862704443652703
matched,direct,spline_ridge,6,0.9816884560458708,0.9780187736064072,0.9861520513886218
single,all_orders,data,6,0.49574045294536695,0.326929681243397,0.5331361828648796
single,all_orders,innovation,6,0.4868848194918654,0.3661199955070754,0.5347411722221623
single,all_orders,quadratic,6,0.5128138269652409,0.4551143975070825,0.5313657170299555
single,all_orders,spline_ridge,6,0.213731779633415,0.18024890203707078,0.2724701931252644
single,direct,data,6,0.7300709537450623,0.6181552212562768,1.0076860208457206
single,direct,innovation,6,0.7328345305538301,0.6958491749835862,0.7525165787126025
single,direct,quadratic,6,0.7115285928257038,0.6786969407905641,0.7632640834837068
single,direct,spline_ridge,6,0.9889344486435434,0.9856862736564903,0.9916979573090209
