seed,method,acquisition,source,old_contrast_error,noisy_chi2,event_difference_error,old_observer_window_envelope_error
11,comoving_data,direct,matched,0.0763092349,1.93415396,,0.0796200104
11,comoving_data,direct,event1,0.471625028,1.93415396,1,0.630849197
11,comoving_data,direct,event2,0.627881344,1.93415396,1,0.786843646
11,comoving_data,all,matched,0.0522970333,1.39550541,,0.0543217432
11,comoving_data,all,event1,0.875725422,82.6851849,1.89306888,0.836184633
11,comoving_data,all,event2,0.77025485,79.0713695,1.24674559,0.604199432
11,comoving_robust_PINN,direct,matched,0.0758645539,1.92700102,,0.0792940174
11,comoving_robust_PINN,direct,event1,0.470488663,1.92700102,1,0.629430974
11,comoving_robust_PINN,direct,event2,0.625863995,1.92700102,1,0.78446083
11,comoving_robust_PINN,all,matched,0.0497620006,1.34570587,,0.051555734
11,comoving_robust_PINN,all,event1,0.890710958,83.5763984,1.92804453,0.847264385
11,comoving_robust_PINN,all,event2,0.764795918,79.0179184,1.23980774,0.601557787
11,staged_residual_PINN,direct,matched,0.0329912902,4.02625347,,0.0343129061
11,staged_residual_PINN,direct,event1,0.46187423,4.02625347,1,0.621021992
11,staged_residual_PINN,direct,event2,0.614735233,4.02625347,1,0.772805696
11,staged_residual_PINN,all,matched,0.0291060108,2.07113916,,0.0298343649
11,staged_residual_PINN,all,event1,0.756838716,94.1998732,1.62117031,0.748829272
11,staged_residual_PINN,all,event2,0.711857351,90.6440071,1.14186806,0.625020627
22,comoving_data,direct,matched,0.0544558471,1.65802762,,0.058555171
22,comoving_data,direct,event1,0.459703828,1.65802762,1,0.616916934
22,comoving_data,direct,event2,0.606978222,1.65802762,1,0.762536108
22,comoving_data,all,matched,0.0380824115,1.28571263,,0.0406937163
22,comoving_data,all,event1,0.571089108,64.152798,1.22546054,0.51734529
22,comoving_data,all,event2,0.584332631,66.4526584,0.943447423,0.557983746
22,comoving_robust_PINN,direct,matched,0.0544719896,1.65801472,,0.0585716212
22,comoving_robust_PINN,direct,event1,0.459701973,1.65801472,1,0.616913492
22,comoving_robust_PINN,direct,event2,0.606975806,1.65801472,1,0.762532595
22,comoving_robust_PINN,all,matched,0.0380819248,1.28571478,,0.0406931768
22,comoving_robust_PINN,all,event1,0.566425646,64.0441312,1.21635654,0.512776353
22,comoving_robust_PINN,all,event2,0.588028933,66.213223,0.949901642,0.561002667
22,staged_residual_PINN,direct,matched,0.04179089,1.83951749,,0.0446088165
22,staged_residual_PINN,direct,event1,0.462062969,1.83951749,1,0.620563646
22,staged_residual_PINN,direct,event2,0.615914037,1.83951749,1,0.773577336
22,staged_residual_PINN,all,matched,0.0274507795,1.34844711,,0.0290244667
22,staged_residual_PINN,all,event1,0.589405655,73.8797825,1.26995473,0.581999835
22,staged_residual_PINN,all,event2,0.587624324,71.6416159,0.944845053,0.519113883
33,comoving_data,direct,matched,0.0683109548,1.86057086,,0.0705540737
33,comoving_data,direct,event1,0.465404572,1.86057086,1,0.623078027
33,comoving_data,direct,event2,0.619698299,1.86057086,1,0.777005381
33,comoving_data,all,matched,0.0487216968,1.2697709,,0.0500431846
33,comoving_data,all,event1,0.774455782,81.9918361,1.6721887,0.748884546
33,comoving_data,all,event2,0.659714788,78.591282,1.06610595,0.550289581
33,comoving_robust_PINN,direct,matched,0.067936237,1.83011515,,0.0701596183
33,comoving_robust_PINN,direct,event1,0.465248733,1.83011515,1,0.622900239
33,comoving_robust_PINN,direct,event2,0.619510972,1.83011515,1,0.776785429
33,comoving_robust_PINN,all,matched,0.0486268594,1.26897548,,0.0499585252
33,comoving_robust_PINN,all,event1,0.794142038,82.4124766,1.71619033,0.768068583
33,comoving_robust_PINN,all,event2,0.678731646,78.2206964,1.09730266,0.554504137
33,staged_residual_PINN,direct,matched,0.0320618389,2.20633928,,0.0340195497
33,staged_residual_PINN,direct,event1,0.465748756,2.20633928,1,0.625573521
33,staged_residual_PINN,direct,event2,0.622441588,2.20633928,1,0.781355923
33,staged_residual_PINN,all,matched,0.0289554667,1.41729053,,0.0306304097
33,staged_residual_PINN,all,event1,0.676296733,78.2029156,1.4617482,0.655930506
33,staged_residual_PINN,all,event2,0.660569313,77.3111388,1.06673976,0.550729785
11,fourier_spline_ridge,direct,matched,0.950802635,0.452291633,,0.999854423
11,fourier_spline_ridge,direct,event1,0.962478771,0.452291633,1,0.999915462
11,fourier_spline_ridge,direct,event2,0.969068229,0.452291633,1,0.999938678
22,fourier_spline_ridge,direct,matched,0.95068235,0.552040835,,0.999866616
22,fourier_spline_ridge,direct,event1,0.96238768,0.552040835,1,0.999922665
22,fourier_spline_ridge,direct,event2,0.968993396,0.552040835,1,0.999943902
33,fourier_spline_ridge,direct,matched,0.949619463,0.497534249,,0.999862193
33,fourier_spline_ridge,direct,event1,0.961582146,0.497534249,1,0.999919961
33,fourier_spline_ridge,direct,event2,0.968331693,0.497534249,1,0.999941941
11,fourier_spline_ridge,all,matched,0.198276202,0.741696053,,0.0979069582
11,fourier_spline_ridge,all,event1,4.45822119,1.82616505,9.62408118,0.289471367
11,fourier_spline_ridge,all,event2,4.18544712,2.04880379,6.75464445,0.27620601
22,fourier_spline_ridge,all,matched,0.208424185,0.688165698,,0.111651719
22,fourier_spline_ridge,all,event1,4.81381879,1.86519116,10.2983161,0.290702871
22,fourier_spline_ridge,all,event2,4.50774087,2.10578837,7.21206352,0.286091533
33,fourier_spline_ridge,all,matched,0.211738001,0.629554718,,0.119036564
33,fourier_spline_ridge,all,event1,4.5018122,1.88461573,9.71024046,0.312787157
33,fourier_spline_ridge,all,event2,4.21680715,2.10215896,6.800874,0.305522309
